Attendance_Percentage,Study_Hours_Per_Day,Previous_Academic_Marks,Internal_Assessment_Marks,Assignment_Score,Practical_Lab_Score,Number_of_Backlogs,Previous_Semester_GPA,Sleep_Hours,Internet_Access,Parental_Education,Extracurricular_Activities,Class_Participation,Assignment_Submission_Rate,Performance_Category
57.41,2.02,44.97,52.62,41.93,59.81,7,4.58,7.9,1,3,1,28.2,52.86,Poor
91.43,8.33,93.89,99.77,86.75,86.97,0,9.61,6.4,1,2,0,90.64,100.0,Excellent
76.95,3.37,68.33,53.42,61.45,51.31,2,7.48,8.8,1,3,0,71.05,88.99,Average
93.96,11.97,98.08,89.25,98.74,95.91,0,8.68,4.2,0,1,1,91.53,93.13,Excellent
94.95,10.87,100.0,87.12,92.25,93.81,0,9.06,9.3,1,2,0,97.94,100.0,Excellent
91.36,11.16,83.02,93.35,99.16,91.53,1,9.15,6.9,0,3,1,99.45,91.55,Excellent
76.79,3.81,54.18,61.75,52.01,60.41,3,6.17,5.8,1,1,0,53.37,65.48,Average
61.07,6.85,54.79,57.89,60.81,48.95,2,6.3,6.2,1,4,0,59.13,60.0,Average
38.62,2.57,31.83,58.32,40.64,41.78,2,4.16,8.7,1,1,1,28.52,59.1,Poor
45.14,2.15,45.54,53.49,39.34,32.37,7,4.18,7.1,1,0,1,35.59,68.68,Poor
42.33,1.2,38.64,31.37,40.98,52.0,8,4.7,8.3,1,1,1,29.11,58.17,Poor
44.09,3.15,43.41,27.49,47.35,33.65,7,4.24,6.4,1,3,1,43.24,54.82,Poor
93.0,8.26,88.82,93.52,94.96,93.71,0,9.21,7.6,1,2,0,94.76,91.75,Excellent
47.76,1.73,56.84,40.79,33.56,43.77,8,5.79,6.2,1,3,0,34.82,49.51,Poor
58.98,3.88,53.7,41.76,66.11,68.06,3,6.28,5.8,1,3,0,56.08,75.48,Average
65.77,4.11,63.69,54.2,66.97,47.23,2,7.07,8.0,1,1,1,44.47,78.29,Average
68.88,7.35,57.94,50.2,68.86,57.04,3,5.82,7.3,1,3,0,54.28,75.16,Average
65.07,4.98,66.11,53.79,65.28,54.91,0,6.54,6.5,0,2,0,69.71,70.71,Average
34.65,2.78,50.9,32.09,43.43,46.19,4,4.81,7.4,0,4,1,44.3,50.08,Poor
97.27,12.0,83.45,89.06,100.0,90.74,0,9.18,9.0,1,3,0,97.26,100.0,Excellent
39.78,2.03,40.45,19.78,43.39,40.15,5,4.4,4.0,1,2,0,17.34,55.74,Poor
48.16,0.54,40.03,32.98,42.55,49.72,4,4.04,4.0,1,2,1,37.15,58.33,Poor
57.83,2.23,44.57,45.33,62.14,62.07,4,6.37,7.5,1,2,0,50.08,66.83,Average
45.81,1.01,41.45,39.61,38.2,33.8,5,5.32,7.4,1,1,1,36.87,65.13,Poor
47.97,1.26,28.92,33.84,61.42,35.11,1,3.18,8.9,1,3,1,40.86,64.34,Poor
88.03,11.38,97.5,89.15,100.0,91.25,1,9.18,4.4,1,2,1,96.55,99.17,Excellent
73.09,9.72,74.73,68.0,72.25,73.49,0,8.67,6.7,1,2,1,84.77,82.06,Good
85.86,11.91,100.0,90.19,93.77,86.77,0,9.52,6.8,0,2,0,92.53,94.25,Excellent
33.07,1.65,41.75,40.83,41.92,46.23,7,4.9,7.4,1,2,0,25.56,70.08,Poor
74.49,6.57,75.32,73.2,65.14,81.74,1,9.2,6.6,1,3,1,68.56,68.29,Good
63.19,3.13,38.92,28.79,39.76,34.46,7,4.46,8.3,1,4,0,37.24,52.18,Poor
66.52,4.46,68.01,57.59,45.82,68.1,1,5.77,10.0,1,3,1,66.0,55.41,Average
99.97,9.49,94.57,99.96,99.83,91.48,1,9.18,7.3,1,0,1,97.52,100.0,Excellent
99.62,11.42,88.64,94.54,89.14,85.6,1,9.73,7.8,1,1,1,95.07,98.9,Excellent
53.08,3.18,47.18,42.6,33.86,40.69,3,4.6,6.8,1,0,1,30.61,58.35,Poor
84.53,10.32,92.51,88.41,97.3,97.19,0,9.17,5.9,1,3,1,88.95,92.01,Excellent
85.81,7.21,74.65,62.47,83.45,67.83,2,7.15,8.5,1,2,1,77.35,86.06,Good
65.18,3.76,65.46,50.21,63.81,62.04,2,5.66,7.0,0,2,0,62.12,57.83,Average
56.92,6.18,59.0,57.93,57.38,59.24,1,6.91,6.5,1,1,1,48.06,67.24,Average
55.72,1.34,41.22,46.56,38.19,45.05,6,5.52,7.3,1,1,1,44.89,58.21,Poor
60.0,4.71,62.26,57.0,37.34,58.14,1,5.13,6.5,1,1,1,43.67,82.38,Average
99.2,9.89,95.85,87.14,86.23,96.59,0,9.89,4.9,1,3,0,96.55,100.0,Excellent
77.7,8.4,72.69,75.36,79.29,69.48,0,6.68,4.0,1,2,1,67.06,84.47,Good
63.35,4.11,59.18,62.38,50.55,66.91,4,6.06,5.9,1,2,0,56.54,80.35,Average
94.82,10.08,93.37,93.72,92.88,99.95,0,9.05,5.8,1,3,1,91.6,93.03,Excellent
47.67,2.23,32.42,34.07,37.0,36.46,7,4.1,7.7,1,3,1,24.94,55.63,Poor
38.79,1.84,42.8,43.68,40.03,25.99,4,3.0,6.6,0,3,1,47.27,46.11,Poor
67.08,5.06,59.38,60.65,56.61,45.06,1,6.38,6.1,1,4,1,55.33,76.89,Average
50.91,2.02,37.37,42.9,54.43,37.47,6,5.24,5.1,1,2,1,33.34,62.53,Poor
76.71,7.9,73.44,76.04,93.7,74.77,0,7.22,4.6,1,4,1,64.04,76.59,Good
32.57,3.01,37.02,45.33,24.24,46.14,4,3.53,6.7,1,4,1,35.26,59.21,Poor
93.84,5.15,87.82,77.23,72.71,67.19,3,7.66,7.0,1,1,0,85.58,75.84,Good
77.44,8.17,76.58,81.47,87.86,73.92,1,8.48,7.6,1,2,0,80.18,79.33,Good
91.48,9.88,94.24,90.06,90.62,92.67,1,8.71,5.3,1,3,1,87.07,98.72,Excellent
88.69,8.2,96.82,95.4,91.7,86.82,1,9.98,7.3,1,3,0,83.9,93.61,Excellent
96.09,12.0,95.75,84.98,99.26,87.51,0,9.27,7.2,1,3,1,87.72,86.76,Excellent
92.4,12.0,93.65,94.99,97.33,94.61,0,8.98,5.2,1,3,1,95.2,90.8,Excellent
67.16,7.01,58.96,63.35,51.27,54.9,3,5.04,7.9,1,4,0,52.14,79.62,Average
92.73,7.56,74.83,78.38,80.71,86.21,0,7.41,6.4,1,3,0,68.96,90.85,Good
56.39,3.93,43.06,33.88,31.98,30.19,5,4.19,6.0,1,0,0,42.46,72.01,Poor
94.8,10.75,98.09,99.74,92.2,85.87,0,9.1,4.5,1,0,1,89.86,93.97,Excellent
78.39,6.11,82.73,83.75,66.08,69.99,0,7.17,6.8,1,3,1,70.36,73.77,Good
90.39,10.27,89.77,91.14,100.0,99.2,0,9.84,8.4,1,2,1,97.57,89.7,Excellent
51.91,2.34,45.63,28.39,48.38,48.36,1,3.53,6.9,1,3,0,39.11,62.08,Poor
40.58,1.86,45.03,40.52,27.16,35.49,2,6.15,8.0,1,0,0,46.05,47.16,Poor
82.51,8.35,71.61,70.41,90.94,74.39,1,8.04,7.3,1,3,1,78.17,76.2,Good
41.39,2.04,47.97,37.33,48.58,57.91,7,4.27,5.9,1,0,1,48.76,73.44,Poor
59.67,1.84,53.48,58.03,66.35,57.87,0,5.86,8.2,1,1,0,66.55,62.45,Average
96.71,8.44,93.18,93.32,90.53,94.15,0,8.71,8.9,1,2,1,88.37,100.0,Excellent
90.66,11.51,86.77,85.68,97.54,92.55,1,9.78,7.0,1,3,1,81.8,90.4,Excellent
96.1,10.91,100.0,86.85,96.37,87.87,0,8.73,9.6,1,0,0,96.22,96.45,Excellent
57.82,2.61,57.26,55.53,79.41,61.46,1,5.15,10.0,1,2,1,50.48,80.67,Average
99.43,11.58,92.5,86.01,99.08,91.29,0,8.74,7.4,1,1,1,92.93,92.3,Excellent
59.72,2.57,57.94,59.41,38.52,60.08,0,8.35,8.5,1,0,1,46.1,84.21,Average
57.46,2.13,45.39,41.71,23.31,37.51,6,5.74,7.1,0,3,0,31.34,57.16,Poor
83.47,7.57,77.84,72.58,77.64,71.86,1,7.0,4.8,0,2,1,70.18,77.22,Good
86.28,9.41,81.06,68.54,77.59,76.45,2,8.73,7.9,1,1,1,77.9,91.26,Good
58.73,2.7,38.96,35.16,42.37,42.71,8,3.96,5.5,1,1,1,42.47,52.46,Poor
94.08,11.35,87.96,100.0,96.55,97.65,1,8.7,7.8,1,1,0,96.95,96.69,Excellent
55.39,5.55,46.79,62.94,68.36,62.3,2,6.46,4.1,0,1,0,50.69,64.43,Average
44.84,2.49,38.2,39.54,30.12,48.32,9,5.68,7.5,1,1,0,28.51,60.45,Poor
88.92,9.63,92.3,91.83,95.67,99.66,0,8.65,7.9,0,3,1,95.96,100.0,Excellent
94.09,9.04,78.25,83.82,80.01,76.67,1,7.18,4.9,1,4,0,85.73,89.5,Good
69.7,7.71,84.33,80.35,83.84,87.68,0,9.12,9.2,1,1,1,71.46,78.59,Good
72.4,6.12,48.51,64.94,63.23,49.82,1,5.93,7.7,1,0,1,69.56,80.12,Average
75.93,5.78,62.32,61.71,60.35,62.47,2,4.93,8.1,1,2,0,59.31,73.71,Average
93.63,9.32,93.48,88.71,88.35,95.61,1,9.56,6.1,1,0,1,88.48,99.58,Excellent
95.44,10.11,98.46,91.9,93.09,90.08,0,9.15,4.7,1,1,0,88.77,95.29,Excellent
68.08,6.81,72.21,83.86,71.9,71.17,0,7.21,7.3,1,3,0,65.93,82.81,Good
70.55,3.93,43.66,56.8,70.82,60.26,1,5.32,8.2,1,0,1,55.14,61.09,Average
86.41,6.68,75.68,72.05,91.17,74.25,1,8.09,4.1,1,4,1,77.58,88.76,Good
71.71,6.75,88.42,75.98,55.73,66.22,1,7.56,4.1,1,1,0,82.38,82.32,Good
78.73,6.94,76.75,56.73,62.36,45.87,2,5.22,5.9,1,3,0,57.33,65.23,Average
72.27,7.83,85.03,72.91,73.97,74.89,1,7.38,8.0,1,3,0,78.39,78.28,Good
82.07,8.06,85.98,81.32,78.01,68.21,0,7.73,6.0,1,4,1,68.63,79.44,Good
76.23,4.19,58.64,48.29,75.51,46.79,4,6.36,7.3,1,2,0,37.96,78.65,Average
63.95,3.73,68.6,56.25,47.57,55.59,0,5.79,8.1,1,2,1,57.64,60.36,Average
100.0,9.08,94.13,90.27,97.77,86.91,0,9.16,8.9,1,1,0,95.84,96.39,Excellent
67.54,4.79,64.56,46.3,50.62,67.18,5,7.04,5.1,0,2,0,63.31,63.79,Average
86.98,6.8,80.98,75.17,81.27,68.47,0,7.71,7.0,1,3,1,78.39,74.46,Good
51.23,3.52,34.91,52.98,47.46,37.11,6,4.08,9.6,1,2,0,19.92,59.33,Poor
87.16,12.0,97.06,93.03,100.0,88.27,0,10.0,8.3,1,0,1,96.55,95.13,Excellent
62.52,4.64,49.96,77.29,72.13,62.82,0,6.59,7.9,1,3,1,71.65,58.55,Average
48.24,3.21,55.69,73.1,64.45,47.32,2,6.59,6.5,1,3,0,58.47,55.19,Average
35.35,0.5,38.89,43.41,49.6,35.29,5,4.9,7.1,1,2,0,38.59,53.42,Poor
94.8,10.08,100.0,95.0,93.33,88.97,0,9.56,7.3,1,2,1,93.28,93.65,Excellent
66.73,5.14,46.51,69.04,56.28,55.69,2,5.81,6.4,1,3,0,56.64,62.88,Average
88.0,9.56,93.27,97.59,94.07,84.62,0,9.36,9.6,1,2,1,95.96,90.92,Excellent
100.0,9.25,91.01,93.87,94.76,98.77,1,9.62,6.3,1,2,0,91.43,98.62,Excellent
84.91,11.14,92.03,94.6,89.68,98.9,0,9.92,6.5,1,3,0,90.13,96.29,Excellent
37.15,2.57,46.1,24.04,30.71,36.73,4,4.08,7.5,1,0,1,33.2,48.44,Poor
51.43,1.64,41.38,44.92,24.73,49.55,2,4.21,6.2,1,4,1,43.04,58.27,Poor
86.66,5.97,79.81,74.63,84.93,61.61,0,8.6,8.0,1,3,1,73.12,81.86,Good
46.61,1.1,49.24,36.05,20.0,36.0,4,5.24,6.7,1,2,1,40.71,56.12,Poor
77.27,7.74,75.82,73.59,72.38,80.76,1,7.05,6.2,1,3,1,69.73,75.73,Good
77.37,9.27,79.87,71.63,88.81,68.51,0,8.38,8.1,1,2,1,87.81,83.13,Good
32.81,1.22,51.66,40.68,47.42,43.34,3,5.28,6.4,0,1,1,29.21,62.19,Poor
86.3,8.18,84.78,68.25,90.67,87.16,1,6.59,8.1,1,1,1,71.33,80.85,Good
89.96,11.06,97.86,94.13,92.57,81.93,1,9.09,6.5,0,2,1,92.39,95.26,Excellent
53.26,4.78,67.06,47.96,61.48,65.5,2,6.41,6.6,1,1,1,48.62,77.53,Average
49.33,0.5,47.33,41.39,45.11,47.46,3,4.05,9.2,1,0,1,29.3,66.99,Poor
56.82,0.75,26.74,44.67,33.92,41.3,4,4.02,7.2,1,2,1,45.84,66.86,Poor
64.29,3.24,70.35,45.29,48.89,53.24,0,5.75,4.0,1,4,1,52.7,83.85,Average
43.0,3.01,35.96,25.94,49.65,48.13,3,6.14,8.2,1,2,1,40.62,65.79,Poor
88.09,10.67,100.0,87.43,92.19,94.58,0,10.0,7.1,0,1,1,89.29,92.59,Excellent
35.11,2.26,51.33,42.8,39.98,34.29,8,4.33,5.6,1,2,1,52.31,62.29,Poor
72.82,9.35,69.75,87.9,77.01,87.63,0,7.9,7.5,0,2,1,68.15,85.38,Good
83.21,6.03,68.43,64.69,66.44,67.01,1,7.38,7.2,1,2,1,76.24,88.8,Good
67.42,9.74,70.67,73.97,71.18,73.99,1,7.81,7.4,1,2,1,70.23,92.97,Good
40.97,2.08,49.39,40.11,27.38,32.58,3,5.15,6.4,1,3,0,46.91,75.67,Poor
96.8,8.78,91.99,90.04,100.0,95.16,1,9.94,8.3,0,2,1,92.08,93.64,Excellent
43.1,1.85,49.23,40.66,29.66,34.74,5,4.95,8.7,1,2,1,46.08,61.05,Poor
94.26,10.87,85.78,95.03,99.51,100.0,0,9.32,9.4,1,3,0,89.43,96.56,Excellent
53.77,4.18,54.86,53.61,55.69,56.91,2,7.12,5.2,0,0,1,51.99,72.65,Average
87.09,7.77,80.33,76.98,93.73,80.67,0,7.43,6.9,0,2,0,73.47,85.36,Good
66.05,4.7,56.33,49.9,53.69,58.82,0,7.17,4.0,1,0,0,66.09,70.08,Average
64.38,5.26,51.67,67.07,48.85,53.47,0,6.65,9.9,1,4,0,50.72,76.59,Average
73.72,5.53,80.02,74.06,75.53,80.67,0,7.98,6.2,1,3,1,74.57,89.5,Good
88.41,7.92,78.88,78.47,80.12,73.94,0,8.65,4.0,1,1,1,59.48,89.52,Good
39.49,1.72,53.44,29.65,20.0,34.83,5,3.63,6.1,1,1,1,37.71,67.14,Poor
89.64,7.97,81.31,86.77,71.22,76.25,0,9.02,7.2,0,2,0,64.68,73.07,Good
68.62,4.68,58.09,47.61,61.86,51.95,2,6.22,7.3,1,3,1,55.4,79.99,Average
50.07,2.19,32.34,41.3,33.34,33.89,5,4.81,5.6,1,3,0,24.65,51.93,Poor
58.2,3.18,41.64,47.0,55.23,45.03,6,5.02,5.9,0,3,1,33.18,50.91,Poor
88.34,11.14,96.46,96.43,89.97,84.04,0,9.27,7.6,1,3,1,93.06,95.28,Excellent
93.52,10.63,94.41,88.39,96.66,100.0,0,8.26,5.6,1,1,1,92.73,100.0,Excellent
40.83,1.36,43.38,39.61,50.73,33.46,6,3.96,5.3,1,3,0,34.72,51.01,Poor
76.05,8.13,78.82,77.49,71.06,85.11,1,7.02,6.1,1,1,1,75.2,92.93,Good
99.96,8.11,96.16,95.45,93.29,94.19,1,9.76,8.2,1,1,0,96.86,91.43,Excellent
78.57,10.21,74.05,83.85,81.37,74.16,1,7.81,10.0,1,3,1,87.65,79.98,Good
100.0,11.59,96.86,90.92,91.14,94.16,0,9.29,8.2,1,4,0,93.44,90.46,Excellent
76.33,9.53,79.47,76.78,68.95,67.29,0,5.84,8.6,1,1,1,81.6,86.11,Good
46.05,1.89,50.46,52.63,26.9,24.71,6,4.82,4.5,1,2,1,48.21,64.67,Poor
76.8,7.26,73.91,67.06,74.0,80.15,0,7.85,8.1,0,2,0,72.98,85.16,Good
90.0,5.29,72.4,78.8,87.77,73.36,0,9.08,7.0,1,0,1,70.76,93.97,Good
81.94,7.47,78.75,76.42,73.31,82.26,2,7.95,6.2,1,2,1,71.06,76.05,Good
90.09,8.86,83.64,94.86,84.84,86.36,2,8.89,5.4,1,1,1,90.94,91.77,Excellent
95.58,8.67,93.41,99.02,96.93,90.44,0,10.0,5.7,1,2,0,92.84,93.44,Excellent
71.48,7.74,70.25,80.1,79.24,62.72,2,7.86,5.9,1,0,0,66.63,84.46,Good
60.44,4.31,55.82,48.53,56.8,60.15,3,5.31,7.7,0,2,0,58.9,81.96,Average
70.19,9.48,78.58,68.91,75.9,84.77,0,7.32,4.9,1,3,0,70.03,92.85,Good
91.56,10.8,99.55,91.77,92.36,96.51,0,9.07,7.9,1,0,0,91.74,90.42,Excellent
43.21,1.74,34.01,38.64,43.78,37.29,6,3.64,4.8,1,2,1,36.26,48.72,Poor
84.33,9.76,74.82,64.81,84.21,70.67,1,7.96,4.0,1,4,1,74.29,81.97,Good
53.04,2.58,36.1,23.74,36.86,47.01,7,6.09,6.5,1,2,0,27.46,70.42,Poor
82.08,9.93,71.92,69.99,78.18,88.15,0,7.69,6.9,1,3,0,78.84,92.65,Good
55.21,4.28,65.02,48.5,61.45,67.72,1,7.46,8.3,1,0,1,60.27,57.62,Average
92.25,8.84,94.4,98.65,91.02,80.55,1,9.52,5.1,1,3,1,94.64,94.88,Excellent
88.16,10.78,95.65,83.12,96.05,96.9,0,9.27,7.5,1,2,1,96.34,93.57,Excellent
88.25,10.52,99.79,85.02,94.38,93.12,0,9.53,9.5,1,2,0,87.25,100.0,Excellent
86.94,10.14,89.89,95.03,93.37,88.37,0,8.41,8.1,1,4,1,90.14,88.1,Excellent
56.97,1.14,42.26,34.63,44.77,37.14,1,4.67,7.6,1,2,1,48.64,76.63,Poor
59.59,5.45,59.18,46.76,52.12,59.59,0,7.19,4.6,0,2,1,53.3,68.33,Average
67.04,8.68,71.75,74.27,73.53,74.68,4,7.01,10.0,1,3,0,81.97,80.9,Good
51.64,1.78,42.32,33.49,41.64,45.13,6,5.85,6.2,1,2,0,21.94,59.38,Poor
59.2,2.45,50.2,37.1,46.0,41.23,3,4.9,8.6,1,3,1,37.38,47.99,Poor
83.94,5.51,75.85,74.78,70.79,75.77,1,7.55,9.2,1,0,0,72.47,83.15,Good
73.99,4.16,65.88,58.64,69.12,54.9,0,6.38,6.7,1,2,1,58.34,76.97,Average
52.26,1.41,41.44,39.58,28.0,32.77,9,5.67,4.7,1,3,0,28.78,69.97,Poor
93.27,9.52,86.14,92.01,88.21,84.09,0,9.73,5.4,1,2,1,93.54,97.23,Excellent
80.95,3.57,74.53,77.19,80.08,76.2,0,8.37,9.5,1,3,1,75.03,90.33,Good
82.21,9.23,88.67,92.33,83.01,99.1,1,9.36,7.2,1,3,0,98.81,88.55,Excellent
61.12,4.13,66.89,52.3,47.66,56.71,1,6.11,7.5,1,3,1,58.93,72.43,Average
73.19,8.97,75.82,68.74,69.84,90.04,0,8.03,4.0,1,2,1,76.84,94.99,Good
61.05,5.6,64.42,59.46,60.09,62.49,1,4.93,4.6,1,0,1,59.84,67.09,Average
96.47,5.72,88.22,86.87,92.72,89.81,2,9.67,7.0,1,2,1,93.23,94.72,Excellent
82.27,4.79,59.76,82.41,78.96,84.75,1,9.06,7.0,1,2,1,77.94,87.94,Good
60.33,2.8,52.19,42.72,59.32,70.08,3,5.64,7.0,0,2,1,49.23,58.76,Average
67.44,4.41,67.6,59.69,61.68,49.27,3,6.18,6.6,1,4,1,47.9,80.48,Average
41.5,0.75,27.4,34.23,55.61,41.17,3,3.49,4.0,1,1,0,25.23,56.72,Poor
79.52,8.05,91.15,65.92,87.12,83.31,1,7.43,7.9,1,3,0,76.3,96.56,Good
46.39,3.21,38.96,36.27,35.47,30.04,4,4.41,8.1,1,2,1,24.08,49.71,Poor
54.4,3.16,71.26,58.26,60.81,58.85,2,6.37,6.8,1,3,1,52.31,72.34,Average
86.56,6.62,73.24,63.98,85.52,84.18,1,8.51,9.3,1,2,0,86.23,88.95,Good
98.71,10.29,100.0,97.63,90.73,92.64,0,8.27,5.0,1,1,1,92.09,96.07,Excellent
50.73,2.72,44.32,36.41,44.73,44.44,6,4.83,5.8,1,2,0,32.41,56.5,Poor
55.46,2.65,23.53,55.34,42.36,32.79,4,4.43,6.8,1,3,1,30.07,62.11,Poor
82.27,6.7,82.38,67.0,72.7,69.75,1,8.51,8.6,1,1,1,81.6,89.41,Good
59.17,4.39,67.65,54.35,57.02,72.79,0,5.4,7.9,1,2,0,35.02,74.1,Average
62.95,4.85,41.47,55.32,69.0,68.12,2,6.53,6.3,1,3,1,48.25,73.32,Average
41.08,1.92,50.47,43.23,36.27,26.9,5,4.58,4.0,0,3,1,44.43,62.27,Poor
76.54,6.75,84.55,78.58,87.87,78.52,0,8.52,9.1,1,3,1,63.04,91.23,Good
91.1,8.27,96.75,94.59,94.54,94.44,0,10.0,8.5,1,0,1,98.72,98.83,Excellent
43.81,2.76,31.34,47.43,30.44,41.29,5,5.09,7.0,0,2,0,30.38,64.55,Poor
67.27,3.18,70.73,62.31,55.94,43.12,2,5.48,7.6,1,1,1,44.18,59.83,Average
49.85,1.26,42.11,42.91,41.21,42.04,3,5.84,7.8,0,1,1,32.17,48.35,Poor
91.56,11.61,94.98,100.0,99.9,98.22,0,9.74,7.4,1,1,1,91.95,100.0,Excellent
69.44,3.54,60.73,55.57,58.25,64.13,2,7.11,6.8,1,1,0,48.81,73.56,Average
66.78,4.15,70.15,64.71,66.98,50.27,0,7.41,6.5,1,3,1,43.59,74.73,Average
89.52,10.33,96.46,89.65,98.26,86.35,2,9.05,5.7,0,1,1,94.1,93.97,Excellent
74.75,7.17,68.26,89.24,75.04,82.32,0,8.26,7.0,1,3,1,75.96,94.6,Good
