Attendance_Percentage,Study_Hours_Per_Day,Previous_Academic_Marks,Internal_Assessment_Marks,Assignment_Score,Practical_Lab_Score,Number_of_Backlogs,Previous_Semester_GPA,Sleep_Hours,Internet_Access,Parental_Education,Extracurricular_Activities,Class_Participation,Assignment_Submission_Rate,Performance_Category,Academic_Consistency,Overall_Academic_Score,Engagement_Score,Study_Efficiency,Parental_Education_Label,Performance_Label
88.69,8.2,96.82,95.4,91.7,86.82,1.0,9.98,7.3,1,3,0,83.9,93.61,Excellent,4.47,93.74,88.76,4.1,Post_Graduate,3
96.09,12.0,95.75,84.98,99.26,87.51,0.0,9.27,7.2,1,3,1,87.72,86.76,Excellent,6.74,91.81,87.24,12.0,Post_Graduate,3
92.4,12.0,93.65,94.99,97.33,94.61,0.0,8.98,5.2,1,3,1,95.2,90.8,Excellent,1.56,94.53,93.0,12.0,Post_Graduate,3
67.16,7.01,58.96,63.35,51.27,54.9,3.0,5.04,7.9,1,4,0,52.14,79.62,Average,5.21,56.85,65.88,1.75,Doctorate,1
92.73,7.56,74.83,78.38,80.71,86.21,0.0,7.41,6.4,1,3,0,68.96,90.85,Good,4.78,79.1,79.9,7.56,Post_Graduate,2
56.39,3.93,43.06,33.88,31.98,30.19,5.0,4.19,6.0,1,0,0,42.46,72.01,Poor,5.72,35.86,57.24,0.66,None,0
94.8,10.75,98.09,99.74,92.2,85.87,0.0,9.1,4.5,1,0,1,89.86,93.97,Excellent,6.3,94.17,91.92,10.75,None,3
78.39,6.11,82.73,83.75,66.08,69.99,0.0,7.17,6.8,1,3,1,70.36,73.77,Good,8.93,76.0,72.06,6.11,Post_Graduate,2
90.39,10.27,89.77,91.14,100.0,99.2,0.0,9.84,8.4,1,2,1,97.57,89.7,Excellent,5.32,94.91,93.64,10.27,Graduate,3
51.91,2.34,45.63,28.39,48.38,48.36,1.0,3.53,6.9,1,3,0,39.11,62.08,Poor,9.62,41.38,50.6,1.17,Post_Graduate,0
40.58,1.86,45.03,40.52,27.16,35.49,2.0,6.15,8.0,1,0,0,46.05,47.16,Poor,7.66,40.07,46.6,0.62,None,0
82.51,8.35,71.61,70.41,90.94,74.39,1.0,8.04,7.3,1,3,1,78.17,76.2,Good,9.55,76.61,77.18,4.17,Post_Graduate,2
41.39,2.04,47.97,37.33,48.58,57.91,7.0,4.27,5.9,1,0,1,48.76,73.44,Poor,8.41,46.89,61.1,0.26,None,0
59.67,1.84,53.48,58.03,66.35,57.87,0.0,5.86,8.2,1,1,0,66.55,62.45,Average,5.38,58.58,64.5,1.84,High_School,1
96.71,8.44,93.18,93.32,90.53,94.15,0.0,8.71,8.9,1,2,1,88.37,100.0,Excellent,1.57,92.27,94.18,8.44,Graduate,3
90.66,11.51,86.77,85.68,97.54,92.55,1.0,9.78,7.0,1,3,1,81.8,90.4,Excellent,5.5,90.91,86.1,5.75,Post_Graduate,3
96.1,10.91,100.0,86.85,96.37,87.87,0.0,8.73,9.6,1,0,0,96.22,96.45,Excellent,6.44,92.29,96.34,10.91,None,3
57.82,2.61,57.26,55.53,79.41,61.46,1.0,5.15,10.0,1,2,1,50.48,80.67,Average,10.95,61.52,65.58,1.3,Graduate,1
99.43,11.58,92.5,86.01,99.08,91.29,0.0,8.74,7.4,1,1,1,92.93,92.3,Excellent,5.37,91.44,92.62,11.58,High_School,3
59.72,2.57,57.94,59.41,38.52,60.08,0.0,8.35,8.5,1,0,1,46.1,84.21,Average,10.35,57.41,65.16,2.57,None,1
57.46,2.13,45.39,41.71,23.31,37.51,6.0,5.74,7.1,1,3,0,31.34,57.16,Poor,9.67,39.68,44.25,0.3,Post_Graduate,0
83.47,7.57,77.84,72.58,77.64,71.86,1.0,7.0,4.8,1,2,1,70.18,77.22,Good,3.2,74.5,73.7,3.79,Graduate,2
86.28,9.41,81.06,68.54,77.59,76.45,2.0,8.73,7.9,1,1,1,77.9,91.26,Good,5.29,76.94,84.58,3.14,High_School,2
58.73,2.7,38.96,35.16,42.37,42.71,7.5,3.96,5.5,1,1,1,42.47,52.46,Poor,3.53,39.51,47.46,0.32,High_School,0
94.08,11.35,87.96,100.0,96.55,97.65,1.0,8.7,7.8,1,1,0,96.95,96.69,Excellent,5.25,94.53,96.82,5.67,High_School,3
55.39,5.55,46.79,62.94,68.36,62.3,2.0,6.46,4.1,1,1,0,50.69,64.43,Average,9.28,60.02,57.56,1.85,High_School,1
44.84,2.49,38.2,39.54,30.12,48.32,7.5,5.68,7.5,1,1,0,28.51,60.45,Poor,7.45,40.8,44.48,0.29,High_School,0
88.92,9.63,92.3,91.83,95.67,99.66,0.0,8.65,7.9,1,3,1,95.96,100.0,Excellent,3.63,93.75,97.98,9.63,Post_Graduate,3
94.09,9.04,78.25,83.82,80.01,76.67,1.0,7.18,4.9,1,4,0,85.73,89.5,Good,3.07,79.03,87.62,4.52,Doctorate,2
69.7,7.71,84.33,80.35,83.84,87.68,0.0,9.12,9.2,1,1,1,71.46,78.59,Good,3.0,84.59,75.03,7.71,High_School,2
72.4,6.12,48.51,64.94,63.23,49.82,1.0,5.93,7.7,1,0,1,69.56,80.12,Average,8.66,56.9,74.84,3.06,None,1
75.93,5.78,62.32,61.71,60.35,62.47,2.0,4.93,8.1,1,2,0,59.31,73.71,Average,0.97,60.5,66.51,1.93,Graduate,1
93.63,9.32,93.48,88.71,88.35,95.61,1.0,9.56,6.1,1,0,1,88.48,99.58,Excellent,3.58,91.9,94.03,4.66,None,3
95.44,10.11,98.46,91.9,93.09,90.08,0.0,9.15,4.7,1,1,0,88.77,95.29,Excellent,3.6,93.37,92.03,10.11,High_School,3
68.08,6.81,72.21,83.86,71.9,71.17,0.0,7.21,7.3,1,3,0,65.93,82.81,Good,6.07,74.84,74.37,6.81,Post_Graduate,2
70.55,3.93,43.66,56.8,70.82,60.26,1.0,5.32,8.2,1,0,1,55.14,61.09,Average,11.2,56.65,58.12,1.97,None,1
86.41,6.68,75.68,72.05,91.17,74.25,1.0,8.09,4.1,1,4,1,77.58,88.76,Good,8.72,78.11,83.17,3.34,Doctorate,2
71.71,6.75,88.42,75.98,55.73,66.22,1.0,7.56,4.1,1,1,0,82.38,82.32,Good,13.94,73.05,82.35,3.38,High_School,2
78.73,6.94,76.75,56.73,62.36,45.87,2.0,5.22,5.9,1,3,0,57.33,65.23,Average,12.85,60.24,61.28,2.31,Post_Graduate,1
72.27,7.83,85.03,72.91,73.97,74.89,1.0,7.38,8.0,1,3,0,78.39,78.28,Good,5.61,76.64,78.34,3.92,Post_Graduate,2
82.07,8.06,85.98,81.32,78.01,68.21,0.0,7.73,6.0,1,4,1,68.63,79.44,Good,7.53,78.8,74.04,8.06,Doctorate,2
76.23,4.19,58.64,48.29,75.51,46.79,4.0,6.36,7.3,1,2,0,37.96,78.65,Average,13.23,57.55,58.31,0.84,Graduate,1
63.95,3.73,68.6,56.25,47.57,55.59,0.0,5.79,8.1,1,2,1,57.64,60.36,Average,8.68,57.63,59.0,3.73,Graduate,1
100.0,9.08,94.13,90.27,97.77,86.91,0.0,9.16,8.9,1,1,0,95.84,96.39,Excellent,4.71,92.2,96.12,9.08,High_School,3
67.54,4.79,64.56,46.3,50.62,67.18,5.0,7.04,5.1,1,2,0,63.31,63.79,Average,10.26,58.32,63.55,0.8,Graduate,1
86.98,6.8,80.98,75.17,81.27,68.47,0.0,7.71,7.0,1,3,1,78.39,74.46,Good,6.03,76.7,76.42,6.8,Post_Graduate,2
51.23,3.52,34.91,52.98,47.46,37.11,6.0,4.08,9.6,1,2,0,19.92,59.33,Poor,8.56,42.97,39.62,0.5,Graduate,0
87.16,12.0,97.06,93.03,100.0,88.27,0.0,10.0,8.3,1,0,1,96.55,95.13,Excellent,5.09,95.18,95.84,12.0,None,3
62.52,4.64,49.96,77.29,72.13,62.82,0.0,6.59,7.9,1,3,1,71.65,58.55,Average,11.99,65.39,65.1,4.64,Post_Graduate,1
48.24,3.21,55.69,73.1,64.45,47.32,2.0,6.59,6.5,1,3,0,58.47,55.19,Average,11.12,61.14,56.83,1.07,Post_Graduate,1
35.35,0.5,38.89,43.41,49.6,35.29,5.0,4.9,7.1,1,2,0,38.59,53.42,Poor,6.17,42.45,46.0,0.08,Graduate,0
94.8,10.08,100.0,95.0,93.33,88.97,0.0,9.56,7.3,1,2,1,93.28,93.65,Excellent,4.56,94.77,93.46,10.08,Graduate,3
66.73,5.14,46.51,69.04,56.28,55.69,2.0,5.81,6.4,1,3,0,56.64,62.88,Average,9.26,57.09,59.76,1.71,Post_Graduate,1
88.0,9.56,93.27,97.59,94.07,84.62,0.0,9.36,9.6,1,2,1,95.96,90.92,Excellent,5.51,92.81,93.44,9.56,Graduate,3
100.0,9.25,91.01,93.87,94.76,98.77,1.0,9.62,6.3,1,2,0,91.43,98.62,Excellent,3.21,94.55,95.02,4.62,Graduate,3
84.91,11.14,92.03,94.6,89.68,98.9,0.0,9.92,6.5,1,3,0,90.13,96.29,Excellent,3.95,94.29,93.21,11.14,Post_Graduate,3
37.15,2.57,46.1,24.04,30.71,36.73,4.0,4.08,7.5,1,0,1,33.2,48.44,Poor,9.37,35.1,40.82,0.51,None,0
51.43,1.64,41.38,44.92,24.73,49.55,2.0,4.21,6.2,1,4,1,43.04,58.27,Poor,10.81,40.64,50.66,0.55,Doctorate,0
86.66,5.97,79.81,74.63,84.93,61.61,0.0,8.6,8.0,1,3,1,73.12,81.86,Good,10.02,76.52,77.49,5.97,Post_Graduate,2
46.61,1.1,49.24,36.05,20.0,36.0,4.0,5.24,6.7,1,2,1,40.71,56.12,Poor,11.96,37.76,48.42,0.22,Graduate,0
77.27,7.74,75.82,73.59,72.38,80.76,1.0,7.05,6.2,1,3,1,69.73,75.73,Good,3.7,75.03,72.73,3.87,Post_Graduate,2
77.37,9.27,79.87,71.63,88.81,68.51,0.0,8.38,8.1,1,2,1,87.81,83.13,Good,9.1,77.72,85.47,9.27,Graduate,2
32.81,1.22,51.66,40.68,47.42,43.34,3.0,5.28,6.4,1,1,1,29.21,62.19,Poor,4.8,46.52,45.7,0.3,High_School,0
86.3,8.18,84.78,68.25,90.67,87.16,1.0,6.59,8.1,1,1,1,71.33,80.85,Good,9.94,80.41,76.09,4.09,High_School,2
89.96,11.06,97.86,94.13,92.57,81.93,1.0,9.09,6.5,1,2,1,92.39,95.26,Excellent,6.83,91.99,93.82,5.53,Graduate,3
53.26,4.78,67.06,47.96,61.48,65.5,2.0,6.41,6.6,1,1,1,48.62,77.53,Average,8.68,60.56,63.08,1.59,High_School,1
49.33,0.5,47.33,41.39,45.11,47.46,3.0,4.05,9.2,1,0,1,29.3,66.99,Poor,2.83,44.74,48.14,0.12,None,0
56.82,0.75,26.74,44.67,33.92,41.3,4.0,4.02,7.2,1,2,1,45.84,66.86,Poor,7.99,36.92,56.35,0.15,Graduate,0
64.29,3.24,70.35,45.29,48.89,53.24,0.0,5.75,4.0,1,4,1,52.7,83.85,Average,11.09,55.09,68.28,3.24,Doctorate,1
